Sno,Date,Province/State,Country,Last Update,Confirmed,Deaths,Recovered
2684,2/28/2020 22:00,,Mexico,2020-02-28T15:03:26,1,0,0
2771,2/29/2020 22:00,,Mexico,2020-02-29T21:13:17,4,0,0
2892,3/1/2020 22:00,,Mexico,2020-03-01T23:33:03,5,0,0
3022,3/2/2020 22:00,,Mexico,2020-03-01T23:33:03,5,0,0
4635,3/10/2020 22:00,,Mexico,2020-03-10T05:13:07,7,0,4
4854,3/11/2020 22:00,,Mexico,2020-03-11T21:13:24,8,0,4
5060,3/12/2020 22:00,,Mexico,2020-03-12T05:13:03,12,0,4
5315,3/13/2020 22:00,,Mexico,2020-03-11T20:00:00,12,0,4
5506,3/14/2020 22:00,,Mexico,2020-03-14T20:53:02,26,0,4
5744,3/15/2020 22:00,,Mexico,2020-03-15T18:20:18,41,0,4
6001,3/16/2020 22:00,,Mexico,2020-03-16T14:38:45,53,0,4
6256,3/17/2020 22:00,,Mexico,2020-03-17T10:53:03,82,0,4
6541,3/18/2020 22:00,,Mexico,2020-03-18T10:53:02,93,0,4
6828,3/19/2020 22:00,,Mexico,2020-03-19T10:53:03,118,1,4
7107,3/20/2020 22:00,,Mexico,2020-03-20T14:13:08,164,1,4
