Sno,Date,Province/State,Country,Last Update,Confirmed,Deaths,Recovered
1871,2/20/2020 22:00,Hubei,Mainland China,2020-02-20T23:43:02,62442,2144,11788
1872,2/20/2020 22:00,Guangdong,Mainland China,2020-02-20T11:13:27,1332,5,642
1873,2/20/2020 22:00,Henan,Mainland China,2020-02-20T13:53:06,1265,19,637
1874,2/20/2020 22:00,Zhejiang,Mainland China,2020-02-20T11:13:27,1175,1,633
1875,2/20/2020 22:00,Hunan,Mainland China,2020-02-20T11:13:27,1010,4,634
1876,2/20/2020 22:00,Anhui,Mainland China,2020-02-20T09:53:02,987,6,474
1877,2/20/2020 22:00,Jiangxi,Mainland China,2020-02-20T05:23:02,934,1,433
1878,2/20/2020 22:00,Diamond Princess cruise ship,Others,2020-02-20T15:53:03,634,2,1
1879,2/20/2020 22:00,Jiangsu,Mainland China,2020-02-20T12:53:02,631,0,356
1880,2/20/2020 22:00,Chongqing,Mainland China,2020-02-20T23:13:05,567,6,299
1881,2/20/2020 22:00,Shandong,Mainland China,2020-02-20T11:13:27,546,4,254
1882,2/20/2020 22:00,Sichuan,Mainland China,2020-02-20T09:53:02,520,3,217
1883,2/20/2020 22:00,Heilongjiang,Mainland China,2020-02-20T09:43:01,476,12,136
1884,2/20/2020 22:00,Beijing,Mainland China,2020-02-20T01:43:01,395,4,153
1885,2/20/2020 22:00,Shanghai,Mainland China,2020-02-20T06:03:03,334,2,199
1886,2/20/2020 22:00,Hebei,Mainland China,2020-02-20T11:13:27,307,5,169
1887,2/20/2020 22:00,Fujian,Mainland China,2020-02-20T12:23:02,293,1,126
1888,2/20/2020 22:00,Guangxi,Mainland China,2020-02-20T09:43:01,245,2,90
1889,2/20/2020 22:00,Shaanxi,Mainland China,2020-02-20T09:53:02,245,1,118
1890,2/20/2020 22:00,Yunnan,Mainland China,2020-02-20T23:13:05,174,2,79
1891,2/20/2020 22:00,Hainan,Mainland China,2020-02-20T09:53:02,168,4,86
1892,2/20/2020 22:00,Guizhou,Mainland China,2020-02-20T09:43:01,146,2,72
1893,2/20/2020 22:00,Shanxi,Mainland China,2020-02-20T23:13:05,132,0,76
1894,2/20/2020 22:00,Tianjin,Mainland China,2020-02-20T12:53:02,131,3,59
1895,2/20/2020 22:00,Liaoning,Mainland China,2020-02-20T06:23:02,121,1,59
1896,2/20/2020 22:00,,South Korea,2020-02-20T09:53:02,104,1,16
1897,2/20/2020 22:00,,Japan,2020-02-20T15:53:03,94,1,18
1898,2/20/2020 22:00,Gansu,Mainland China,2020-02-20T14:13:17,91,2,71
1899,2/20/2020 22:00,Jilin,Mainland China,2020-02-20T09:43:01,91,1,43
1900,2/20/2020 22:00,,Singapore,2020-02-19T22:13:08,84,0,34
1901,2/20/2020 22:00,Xinjiang,Mainland China,2020-02-20T13:33:02,76,1,22
1902,2/20/2020 22:00,Inner Mongolia,Mainland China,2020-02-20T12:53:02,75,0,16
1903,2/20/2020 22:00,Ningxia,Mainland China,2020-02-20T05:23:02,71,0,44
1904,2/20/2020 22:00,Hong Kong,Hong Kong,2020-02-20T23:13:05,68,2,6
1905,2/20/2020 22:00,,Thailand,2020-02-17T07:33:02,35,0,15
1906,2/20/2020 22:00,Taiwan,Taiwan,2020-02-20T02:13:19,24,1,2
1907,2/20/2020 22:00,,Malaysia,2020-02-19T09:33:03,22,0,15
1908,2/20/2020 22:00,Qinghai,Mainland China,2020-02-19T04:53:02,18,0,16
1909,2/20/2020 22:00,,Germany,2020-02-18T17:03:03,16,0,12
1910,2/20/2020 22:00,,Vietnam,2020-02-13T06:33:02,16,0,7
1911,2/20/2020 22:00,,France,2020-02-15T20:53:02,12,1,4
1912,2/20/2020 22:00,Macau,Macau,2020-02-20T02:13:19,10,0,6
1913,2/20/2020 22:00,,UK,2020-02-16T16:23:06,9,0,8
1914,2/20/2020 22:00,,United Arab Emirates,2020-02-16T20:43:02,9,0,4
1915,2/20/2020 22:00,Queensland,Australia,2020-02-09T19:33:02,5,0,0
1916,2/20/2020 22:00,British Columbia,Canada,2020-02-17T08:03:07,5,0,0
1917,2/20/2020 22:00,,Iran,2020-02-20T17:33:02,5,2,0
1918,2/20/2020 22:00,New South Wales,Australia,2020-02-13T17:53:03,4,0,4
1919,2/20/2020 22:00,Victoria,Australia,2020-02-13T17:53:03,4,0,4
1920,2/20/2020 22:00,,India,2020-02-16T07:43:02,3,0,3
1921,2/20/2020 22:00,,Italy,2020-02-07T17:53:02,3,0,0
