Sno,Date,Province/State,Country,Last Update,Confirmed,Deaths,Recovered
52,1/23/2020 12:00,Hubei,Mainland China,1/23/2020 12:00,444,17,28
84,1/24/2020 12:00,Hubei,Mainland China,1/24/2020 12:00,549,24,31
125,1/25/2020 22:00,Hubei,Mainland China,1/25/2020 22:00,1052,52,42
169,1/26/2020 23:00,Hubei,Mainland China,1/26/2020 23:00,1423,76,44
216,1/27/2020 20:30,Hubei,Mainland China,1/27/2020 20:30,2714,100,47
268,1/28/2020 23:00,Hubei,Mainland China,1/28/2020 23:00,3554,125,80
320,1/29/2020 21:00,Hubei,Mainland China,1/29/2020 21:00,4586,162,90
376,1/30/2020 21:30,Hubei,Mainland China,1/30/2020 21:30,5806,204,116
435,1/31/2020 19:00,Hubei,Mainland China,1/31/2020 19:00,7153,249,169
498,2/1/2020 23:00,Hubei,Mainland China,1/2/2020 23:33,9074,294,215
565,2/2/2020 21:00,Hubei,Mainland China,2/2/2020 23:43,11177,350,295
632,2/3/2020 21:40,Hubei,Mainland China,4/2/2020 1:23,13522,414,396
701,2/4/2020 22:00,Hubei,Mainland China,4/2/2020 23:43,16678,479,522
771,2/5/2020 12:20,Hubei,Mainland China,5/2/2020 16:43,18678,479,538
841,2/6/2020 20:05,Hubei,Mainland China,6/2/2020 23:23,20112,618,817
912,2/7/2020 20:24,Hubei,Mainland China,7/2/2020 14:03,22112,618,867
984,2/8/2020 23:04,Hubei,Mainland China,9/2/2020 3:03,27100,780,1440
1056,2/9/2020 23:20,Hubei,Mainland China,2/9/2020 23:33,29631,871,1795
1128,2/10/2020 19:30,Hubei,Mainland China,2/10/2020 23:33,31728,974,2222
1200,2/11/2020 20:44,Hubei,Mainland China,2/11/2020 23:33,33366,1068,2639
1273,2/12/2020 22:00,Hubei,Mainland China,2/13/2020 0:03,48206,1310,3441
1275,2/12/2020 22:00,Henan,Mainland China,2/13/2020 0:33,1169,10,258
1346,2/13/2020 21:15,Hubei,Mainland China,2/14/2020 0:13,51986,1426,4131
1348,2/13/2020 21:15,Henan,Mainland China,2/14/2020 1:13,1184,11,313
1357,2/13/2020 21:15,Heilongjiang,Mainland China,2/14/2020 0:23,418,11,37
1420,2/14/2020 22:00,Hubei,Mainland China,2020-02-14T23:33:02,54406,1457,4774
1422,2/14/2020 22:00,Henan,Mainland China,2020-02-14T12:53:02,1184,11,357
1431,2/14/2020 22:00,Heilongjiang,Mainland China,2020-02-14T13:23:07,419,11,47
1495,2/15/2020 22:00,Hubei,Mainland China,2020-02-15T23:13:05,56249,1596,5623
1497,2/15/2020 22:00,Henan,Mainland China,2020-02-15T12:13:08,1212,13,391
1506,2/15/2020 22:00,Heilongjiang,Mainland China,2020-02-15T11:43:01,425,11,68
1570,2/16/2020 22:00,Hubei,Mainland China,2020-02-16T23:53:01,58182,1696,6639
1572,2/16/2020 22:00,Henan,Mainland China,2020-02-16T13:53:03,1231,13,440
1581,2/16/2020 22:00,Heilongjiang,Mainland China,2020-02-16T13:53:03,445,11,79
1645,2/17/2020 22:00,Hubei,Mainland China,2020-02-17T23:13:06,59989,1789,7862
1647,2/17/2020 22:00,Henan,Mainland China,2020-02-17T14:53:02,1246,16,509
1656,2/17/2020 22:00,Heilongjiang,Mainland China,2020-02-17T08:03:06,457,11,85
1720,2/18/2020 22:00,Hubei,Mainland China,2020-02-18T23:13:11,61682,1921,9128
1722,2/18/2020 22:00,Henan,Mainland China,2020-02-18T14:23:02,1257,19,522
1732,2/18/2020 22:00,Heilongjiang,Mainland China,2020-02-18T11:03:12,464,11,111
1795,2/19/2020 22:00,Hubei,Mainland China,2020-02-19T23:23:02,62031,2029,10337
1797,2/19/2020 22:00,Henan,Mainland China,2020-02-19T12:13:08,1262,19,573
1807,2/19/2020 22:00,Heilongjiang,Mainland China,2020-02-19T11:03:08,470,12,120
1871,2/20/2020 22:00,Hubei,Mainland China,2020-02-20T23:43:02,62442,2144,11788
1873,2/20/2020 22:00,Henan,Mainland China,2020-02-20T13:53:06,1265,19,637
